RULING,RULING_DATE,Found_HTS8,brief_description
NY N350527,7/23/25,0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
NY N350527,7/23/25,0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
NY N350716,7/23/25,9903.01.25,
NY N350716,7/23/25,1901.90.91,"Flour-, meal-, starch-, malt extract- or dairy-based food preps not containing cocoa and not containing specific amounts of dairy, nesoi"
NY N350716,7/23/25,1901.90.91,"Flour-, meal-, starch-, malt extract- or dairy-based food preps not containing cocoa and not containing specific amounts of dairy, nesoi"
NY N350716,7/23/25,1901.90.91,"Flour-, meal-, starch-, malt extract- or dairy-based food preps not containing cocoa and not containing specific amounts of dairy, nesoi"
NY N350716,7/23/25,1901.90.91,"Flour-, meal-, starch-, malt extract- or dairy-based food preps not containing cocoa and not containing specific amounts of dairy, nesoi"
NY N350716,7/23/25,1901.90.91,"Flour-, meal-, starch-, malt extract- or dairy-based food preps not containing cocoa and not containing specific amounts of dairy, nesoi"
NY N350716,7/23/25,1901.90.91,"Flour-, meal-, starch-, malt extract- or dairy-based food preps not containing cocoa and not containing specific amounts of dairy, nesoi"
NY N350716,7/23/25,1901.90.91,"Flour-, meal-, starch-, malt extract- or dairy-based food preps not containing cocoa and not containing specific amounts of dairy, nesoi"
NY N350790,7/23/25,9903.01.26,
NY N350790,7/23/25,9903.01.10,
NY N350790,7/23/25,3307.20.00,Personal deodorants and antiperspirants
NY N350790,7/23/25,3307.20.00,Personal deodorants and antiperspirants
NY N350790,7/23/25,3307.20.00,Personal deodorants and antiperspirants
NY N350790,7/23/25,3307.20.00,Personal deodorants and antiperspirants
NY N350790,7/23/25,3307.20.00,Personal deodorants and antiperspirants
NY N350790,7/23/25,3307.20.00,Personal deodorants and antiperspirants
NY N350790,7/23/25,3307.20.00,Personal deodorants and antiperspirants
NY N350932,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350932,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350932,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350932,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350932,7/23/25,9903.01.25,
NY N350936,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350936,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350936,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350936,7/23/25,4421.99.98,"Other articles, nesoi, of wood not bamboo, incl pencil slats, gates for confining children or pets"
NY N350936,7/23/25,9903.01.25,
NY N351071,7/23/25,9903.01.24,
NY N351071,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351071,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351071,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351071,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351071,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351071,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351071,7/23/25,9903.01.25,
NY N351144,7/23/25,9903.01.24,
NY N351144,7/23/25,6402.99.49,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, n/cov. ankle, w/open toes or heels or of the slip-on type"
NY N351144,7/23/25,6402.99.49,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, n/cov. ankle, w/open toes or heels or of the slip-on type"
NY N351144,7/23/25,6402.99.49,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, n/cov. ankle, w/open toes or heels or of the slip-on type"
NY N351144,7/23/25,6402.99.49,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, n/cov. ankle, w/open toes or heels or of the slip-on type"
NY N351144,7/23/25,6402.99.49,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, n/cov. ankle, w/open toes or heels or of the slip-on type"
NY N351144,7/23/25,6402.99.49,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, n/cov. ankle, w/open toes or heels or of the slip-on type"
NY N351144,7/23/25,6402.99.49,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, n/cov. ankle, w/open toes or heels or of the slip-on type"
NY N351144,7/23/25,9903.01.25,
NY N351202,7/23/25,9903.01.24,
NY N351202,7/23/25,9903.01.25,
NY N351202,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351202,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351202,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351202,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351202,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351202,7/23/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351301,7/23/25,9903.01.24,
NY N351301,7/23/25,7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules"
NY N351301,7/23/25,7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules"
NY N351301,7/23/25,7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules"
NY N351301,7/23/25,7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules"
NY N351301,7/23/25,7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules"
NY N351301,7/23/25,7205.10.00,"Pig iron, spiegeleisen, and iron or steel granules"
NY N351301,7/23/25,9903.01.25,
NY N351301,7/23/25,7205.21.00,Alloy steel powders
NY N351301,7/23/25,7205.21.00,Alloy steel powders
NY N351301,7/23/25,7205.21.00,Alloy steel powders
NY N351301,7/23/25,7205.21.00,Alloy steel powders
NY N351301,7/23/25,7205.21.00,Alloy steel powders
NY N351301,7/23/25,7205.21.00,Alloy steel powders
NY N351301,7/23/25,7205.29.00,"Pig iron, spiegeleisen, and iron or steel (o/than alloy steel) powders"
NY N351301,7/23/25,7205.29.00,"Pig iron, spiegeleisen, and iron or steel (o/than alloy steel) powders"
NY N351301,7/23/25,7205.29.00,"Pig iron, spiegeleisen, and iron or steel (o/than alloy steel) powders"
NY N351301,7/23/25,7205.29.00,"Pig iron, spiegeleisen, and iron or steel (o/than alloy steel) powders"
NY N351301,7/23/25,7205.29.00,"Pig iron, spiegeleisen, and iron or steel (o/than alloy steel) powders"
NY N351301,7/23/25,7205.29.00,"Pig iron, spiegeleisen, and iron or steel (o/than alloy steel) powders"
NY N351301,7/23/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351301,7/23/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351301,7/23/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351301,7/23/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351301,7/23/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351301,7/23/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351309,7/23/25,9903.01.24,
NY N351309,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351309,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
